Dia do Mes,Dia da Semana,Feriado / FDS,Hora,Chuva,Valor Cartela,Premiacao,Resultado
31,4,0,23.59,1,0,7.5,-7.5
1,5,0,8,1,0.1,5,40.45
1,5,0,8.20,1,0.25,0,11.48
1,5,0,8.40,1,0.5,95,-77.45
1,5,0,9,1,0.25,10,17.25
1,5,0,9.15,1,0.2,120,-83.28
1,5,0,9.30,1,0.2,0,49.5
1,5,0,9.45,1,0.25,140,-59.9
1,5,0,10,1,0.2,155,-51.76
1,5,0,10.10,1,0.1,142.5,-22.89
1,5,0,10.20,1,0.2,30,24.54
1,5,0,10.30,1,0.5,20,43.95
1,5,0,10.40,1,0.25,0,96.08
1,5,0,10.50,1,0.1,0,118.17
1,5,0,11,1,0.5,180,13.05
1,5,0,11.15,1,0.2,35,114.24
1,5,0,11.30,1,0.25,50,108.63
1,5,0,11.45,1,0.2,40,181.94
1,5,0,12,1,2,50,813
1,5,0,12.15,1,0.5,150,100.25
1,5,0,12.30,1,0.25,125,-6.88
1,5,0,12.45,1,0.5,150,102.45
1,5,0,13,1,1,300,60
1,5,0,13.15,1,0.25,140,117.18
1,5,0,13.30,1,0.5,160,81.75
1,5,0,13.45,1,0.25,140,84.45
1,5,0,14,1,0.25,124.99,89.94
1,5,0,14.30,1,0.25,140,66.78
1,5,0,14.45,1,0.5,170,53
1,5,0,15,1,0.5,150,41.6
1,5,0,15.20,1,0.25,150,36.58
1,5,0,15.40,1,0.1,140,94.33
1,5,0,16,1,0.5,180,14.65
1,5,0,16.20,1,0.25,160,23.3
1,5,0,16.40,1,0.5,180,35.8
1,5,0,17,1,1,350,200.3
1,5,0,17.15,1,0.1,150,131.42
1,5,0,17.30,1,0.2,160,86.64
1,5,0,17.45,1,0.5,240,166.3
1,5,0,18,1,2,600,688
1,5,0,18.15,1,0.5,250,116.2
1,5,0,18.30,1,1,479.99,299.71
1,5,0,18.45,1,0.5,250,231.05
1,5,0,19,1,2,600,215.4
1,5,0,19.15,1,0.5,250,293.5
1,5,0,19.30,1,1,380,288.3
1,5,0,19.45,1,0.5,250,138.6
1,5,0,20,1,2,650,184.8
1,5,0,20.15,1,0.5,240,79.8
1,5,0,20.30,1,1,360,9.3
1,5,0,20.45,1,0.25,180,88.73
1,5,0,21,1,0.5,250,-15.5
1,5,0,21.15,1,0.25,180,29.53
1,5,0,21.30,1,0.5,240,-17.1
1,5,0,21.45,1,0.25,180,71.1
1,5,0,22,1,2,1.00000,-503
1,5,0,22.10,1,0.1,25,162.84
1,5,0,22.20,1,0.5,7.5,187.4
1,5,0,22.30,1,2,200,59.2
1,5,0,22.40,1,1,0,159.6
1,5,0,22.50,1,0.2,0,109.26
1,5,0,23,1,0.25,20,161.8
1,5,0,23.10,1,0.2,163.34,-10.16
1,5,0,23.20,1,0.25,30,102.3
1,5,0,23.30,1,0.1,0,53.01
1,5,0,23.45,1,0.25,30,61.93
1,5,0,23.59,1,0.05,12,124.42
2,6,0,8,1,0.1,80,-43.19
2,6,0,8.20,1,0.25,0,13.05
2,6,0,8.40,1,0.5,0,9.9
2,6,0,9,1,0.25,10,54.58
2,6,0,9.15,1,0.2,20,56.32
2,6,0,9.30,1,0.2,125,-29.24
